LOC,STA,STA2,STATION,NAME,LHOLD,HOLDCERT,O,NEARTOWN,COUNTY,STATE,REGION,BLOCK,LATITUDE,LONGITUDE,PRECISION,SOURCE,DATUM,DECLAT,DECLNG,NAD83,ELEV,STRATUM,BCR,HABITAT,REG,PASSED,MAP,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,Y99,D99,Y00,D00,Y01,D01,Y02,D02,Y03,D03,Y04,D04,Y05,D05,Y06,D06,Y07,D07,Y08,D08,Y09,D09,Y10,D10,Y11,D11,Y12,D12,Y13,HISTORY,YRSOP
YOSE,11107,11107U,HODG,Hodgdon Meadow,IP,+,A,El Portal,Tuolumne,CA,1,374-1195,37 47 38,-119 51 48,01S,GPS -GARMIN III,NAD83,37.79389,-119.86333,x,1408,66,15,montane meadow,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,90-,23
GRAN,11108,11108U,GRAN,Grand Teton,IP,+,I,Moose,Teton,WY,1,434-1104,43 41 10,-110 45 50,10S,-,-,43.68611,-110.76389,-,2036,64,10,riparian scrub/pine-fir forest,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,1
SEKI,11109,11109U,LIME,Lion Meadow,IP,+,A,Pinehurst,Fresno/Tulare,CA,1,364-1185,36 44 43,-118 58 52,01S,Web - Google E.,NAD83,36.74528,-118.98111,x,1853,66,32,conif. for./mont. mdw./chap.,X,N01,X,,,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,"91-93,01-10",13
SEKI,11110,11110U,ZUME,Zumwalt Meadow,IP,+,A,Hume,Fresno,CA,1,364-1183,36 47 30,-118 35 47,01S,Web - Google E.,NAD83,36.79167,-118.59639,x,1280,66,15,rip./oak wdlnd./conif. for.,X,N01,X,,,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,"91-93,01-10",13
TAHO,11111,11111U,YUBA,Yuba Pass,AF,+,I,Sattley,Sierra,CA,1,393-1202,39 37 00,-120 26 30,10S,-,-,39.61667,-120.44167,-,2040,66,15,mixed coniferous forest along river,X,Y99,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,91-04,14
TAHO,11112,11112U,SNFC,Sierra Nevada,AF,+,I,Sierra City,Sierra,CA,1,393-1203,39 37 20,-120 31 30,10S,-,-,39.62222,-120.525,-,1780,66,15,mixed coniferous forest along river,X,Y99,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,91-04,14
BIGB,11113,11113U,WHBA,Whites Bar,AF,+,I,Big Bar,Trinity,CA,1,404-1231,40 40 29,-123 17 02,01S,hard copy topo,NAD27,40.67472,-123.285,x,110,93,5,Alder-willow riparian corridor,X,,X,,,X,X,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,"91-98,02-05,07-",18
TSS-,11114,11114U,TSS-,Teton Science School,IP,+,I,Kelly,Teton,WY,1,434-1103,43 40 20,-110 35 52,01S,ARC Map photo,NAD83,43.67222,-110.59778,x,2100,64,10,riparian corridor,X,Y02,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,91-,22
SISK,11115,11115U,BCBA,Bear Camp,AF,+,I,Agness,Curry,OR,1,423-1235,42 36 51,-123 51 04,01S,-,NAD27,42.61417,-123.85222,x,1341,93,5,wet meadow,X,Y00,x,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,91-03,13
SISK,11116,11116U,GBCR,Grayback Creek,AF,+,I,Williams,Josephine,OR,1,420-1232,42 09 00,-123 25 22,01S,-,NAD27,42.14972,-123.42389,x,634,93,5,mixed brush,X,Y00,x,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,91-05,15
SIXR,11117,11117?,H-1,H-1,AF,+,I,Orleans,Humboldt,CA,1,412-1233,41 25 00,-123 35 00,BLK,-,-,41.41667,-123.58333,-,829,93,5,mixed coniferous forest,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1
SIXR,11118,11117?,H-2,H-2,AF,+,I,Orleans,Humboldt,CA,1,412-1233,41 25 00,-123 35 00,BLK,-,-,41.41667,-123.58333,-,829,93,5,mixed coniferous forest,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1
SIXR,11119,11117?,H-3,H-3,AF,+,I,Weitchpec,Humboldt,CA,1,412-1234,41 25 00,-123 45 00,BLK,-,-,41.41667,-123.75,-,1103,93,5,mixed coniferous forest,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1
SIXR,11120,11117?,M-1,M-1,AF,+,I,Weitchpec,Humboldt,CA,1,412-1234,41 25 00,-123 45 00,BLK,-,-,41.41667,-123.75,-,1103,93,5,mixed coniferous forest,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1
SIXR,11121,11117?,M-2,M-2,AF,+,I,Weitchpec,Humboldt,CA,1,412-1234,41 25 00,-123 45 00,BLK,-,-,41.41667,-123.75,-,1103,93,5,mixed coniferous forest,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1
SIXR,11122,11117?,M-3,M-3,AF,+,I,Weitchpec,Humboldt,CA,1,412-1234,41 25 00,-123 45 00,BLK,-,-,41.41667,-123.75,-,1103,93,5,mixed coniferous forest,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1
SIXR,11123,11117?,P-1,P-1,AF,+,I,Weitchpec,Humboldt,CA,1,412-1234,41 25 00,-123 45 00,BLK,-,-,41.41667,-123.75,-,1103,93,5,mixed coniferous forest,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1
SIXR,11124,11117?,P-2,P-2,AF,+,I,Orleans,Humboldt,CA,1,412-1234,41 25 00,-123 45 00,BLK,-,-,41.41667,-123.75,-,1103,93,5,mixed coniferous forest,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1
SIXR,11125,11117?,P-3,P-3,AF,+,I,Weitchpec,Humboldt,CA,1,412-1234,41 25 00,-123 45 00,BLK,-,-,41.41667,-123.75,-,1103,93,5,mixed coniferous forest,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1
ARCA,11126,11106S,PARK,Park,P,?,I,Arcata,Humboldt,CA,1,405-1240,40 53 42,-124 08 30,01S,-,NAD27,40.89472,-124.14278,x,3,93,5,beach pine/riparian woodland,X,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,,X,,X,,X,92-,21
KETC,11127,11127U,WACR,Ward Creek,AF,+,I,Ketchikan,Ketchikan Gateway,AK,1,552-1314,55 25 00,-131 42 00,01M,-,-,55.41667,-131.7,-,6,94,5,riparian spruce/hemlock,X,,x,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,1
LORI,11128,11128U,LORI,Long Ridge,AF,+,I,Harbor,Curry,OR,1,421-1240,42 13 40,-124 05 50,10S,-,-,42.22778,-124.09722,-,518,93,5,mixed forest,X,,x,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,92-01,10
GRFA,11129,11129U,BWMA,Beartooth,S,+,I,Holter Dam,Lewis and Clark,MT,1,465-1115,46 56 01,-111 54 55,01S,-,NAD83,46.93361,-111.91528,x,1158,65,10,riparian woodland,X,Y99,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,92-,21
TAHO,11130,11130U,FREE,Freeman Meadow,AF,+,I,Clio,Sierra,CA,1,394-1203,39 40 00,-120 36 00,01M,-,-,39.66667,-120.6,-,2042,66,15,riparian willow,X,Y99,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,92-04,13
TAHO,11131,11131U,CAVA,Carman Valley,AF,+,I,Calpine,Sierra,CA,1,394-1202,39 42 00,-120 27 00,01M,-,-,39.7,-120.45,-,1494,66,15,pine/fir forest,X,Y99,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,L,X,L,,,X,X,X,X,X,X,,,,,,"92-06,08-10",18
TAHO,11132,11132U,PZAZ,Perazzo Meadow,AF,+,I,Sierraville,Sierra,CA,1,392-1202,39 28 30,-120 23 09,01S,GPS,NAD83,39.475,-120.38583,x,2012,66,15,riparian willow,X,Y99,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,X,X,?,,?,"92-04,08-",18
FLAT,11133,11133U,CEFO,Coram Forest,AF,+,A,Martin City,Flathead,MT,1,482-1135,48 22 21,-113 58 35,01S,-,-,48.3725,-113.97639,-,1244,64,10,undisturbed mixed forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,92-03,12
FLAT,11134,11134U,HIME,Hillary Meadow,AF,+,A,Martin City,Flathead,MT,1,482-1135,48 20 48,-113 58 32,01S,-,-,48.34667,-113.97556,-,1109,64,10,wet meadow,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,92-03,12
FLAT,11135,11135U,SIMO,Sixmile Mountain,AF,+,A,Swan Lake,Lake,MT,1,475-1135,47 56 46,-113 52 05,01S,-,-,47.94611,-113.86806,-,1067,64,10,mixed forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,92-03,12
FLAT,11136,11136U,SWOX,Swan Oxbow 2,AF,+,A,Swan Lake,Lake,MT,1,475-1135,47 52 49,-113 50 56,01S,-,-,47.88028,-113.84889,-,939,64,10,dry meadow,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,92-03,12
FLAT,11137,11137U,SRNA,Swan,AF,+,A,Swan Lake,Lake,MT,1,475-1135,47 51 00,-113 51 31,01S,-,-,47.85,-113.85861,-,943,64,10,wet meadow,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,92-03,12
FLAT,11138,11138U,SICR,Simpson Creek,AF,+,A,Condon,Missoula,MT,1,473-1134,47 35 28,-113 41 44,01S,-,-,47.59111,-113.69556,-,1195,64,10,mixed woodland,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,92-03,12
MTBA,11139,11139U,FRLA,Frog Lake,AF,+,A,Darrington,Snohomish,WA,1,481-1213,48 12 28,-121 34 33,01S,GPS -SPORTTRAK,NAD83,48.20778,-121.57583,x,317,67,9,dry mixed coniferous forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
MTBA,11140,11140U,MUCR,Murphy Creek,AF,+,A,Darrington,Snohomish,WA,1,481-1213,48 11 25,-121 31 08,01S,-,-,48.19028,-121.51889,-,244,67,9,disturbed coniferous forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,92-04,13
MTBA,11141,11141S,BELA,Beaver Lake,AF,+,A,Silverton,Snohomish,WA,1,480-1212,48 09 43,-121 26 55,01S,GPS -SPORTTRAK,NAD83,48.16194,-121.44861,x,299,67,9,mixed coniferous forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
MTBA,11142,11142U,COPC,Copper Creek,AF,+,A,Silverton,Snohomish,WA,1,480-1213,48 08 20,-121 38 20,10S,-,-,48.13889,-121.63889,-,512,67,9,boggy coniferous forest,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,1
MTBA,11143,11143U,PECR,Perry Creek,AF,+,A,Silverton,Snohomish,WA,1,480-1213,48 03 44,-121 30 50,01S,GPS -SPORTTRAK,NAD83,48.06222,-121.51389,x,512,67,9,coniferous rainforest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
MTBA,11144,11144U,MCLA,Monte Cristo Lake,AF,+,A,Silverton,Snohomish,WA,1,480-1212,48 03 03,-121 25 57,01S,GPS -SPORTTRAK,NAD83,48.05083,-121.4325,x,610,67,9,wet meadow,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,92-10,19
WENA,11145,11145U,TIME,Timothy Meadow,AF,+,A,Easton,Yakima,WA,1,470-1211,47 04 51,-121 15 33,01S,GPS -SPORTTRAK,NAD83,47.08083,-121.25917,x,951,67,9,marsh,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
WENA,11146,11146S,QUCR,Quartz Creek 1,AF,+,A,Cliffdell,Kittitas,WA,1,470-1210,47 01 14,-121 07 42,01S,-,-,47.02056,-121.12833,-,853,67,9,alder corridor,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,1
WENA,11147,11147U,TWPO,Two Point,AF,+,A,Cliffdell,Kittitas,WA,1,465-1205,46 57 44,-120 55 38,01S,GPS -SPORTTRAK,NAD83,46.96222,-120.92722,x,1512,85,9,montane meadow,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
WENA,11148,11148U,PLVA,Pleasant Valley,AF,+,A,Goose Prairie,Yakima,WA,1,465-1211,46 56 47,-121 18 45,01S,GPS -SPORTTRAK,NAD83,46.94639,-121.3125,x,1000,67,9,open meadow,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
WENA,11149,11149U,RASP,Rattlesnake Spring,AF,+,A,Cliffdell,Yakima,WA,1,464-1210,46 48 12,-121 03 07,01S,GPS -SPORTTRAK,NAD83,46.80333,-121.05194,x,817,85,9,riparian grove,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
WENA,11150,11150U,DECR,Deep Creek,AF,+,A,Goose Prairie,Yakima,WA,1,464-1212,46 46 48,-121 20 23,01S,-,-,46.78,-121.33972,-,1195,67,5,fir/spruce bog,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,92-04,13
UMAT,11151,11151U,BUCR,Buzzard Creek,AF,+,A,Elgin,Union,OR,1,455-1175,45 50 05,-117 56 21,01S,GPS -SPORTTRAK,NAD83,45.83472,-117.93917,x,1524,65,10,open mixed coniferous forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,92-08,17
UMAT,11152,11152U,BRME,Brock Meadow,AF,+,A,Elgin,Union,OR,1,454-1175,45 48 55,-117 51 35,01S,GPS -SPORTTRAK,NAD83,45.81528,-117.85972,x,1244,65,10,meadow complex,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,92-08,17
UMAT,11153,11153U,FRME,Fry Meadow,AF,+,A,Elgin,Union,OR,1,454-1175,45 48 03,-117 50 18,01S,GPS -SPORTTRAK,NAD83,45.80083,-117.83833,x,1280,65,10,meadow complex,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,92-08,17
UMAT,11154,11154U,CORI,Coyote Ridge,AF,+,A,Gibbon,Umatilla,OR,1,454-1181,45 44 24,-118 10 13,01S,GPS -SPORTTRAK,NAD83,45.74,-118.17028,x,1341,65,10,mixed coniferous forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,92-08,17
UMAT,11155,11155U,BMME,Buck Mountain Meadow,AF,+,A,Elgin,Union,OR,1,454-1180,45 40 43,-118 06 40,01S,GPS -SPORTTRAK,NAD83,45.67861,-118.11111,x,1378,65,10,moist-dry meadow,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,92-08,17
UMAT,11156,11156U,PHCR,Phillips Creek,AF,+,A,Elgin,Union,OR,1,453-1180,45 35 15,-118 01 50,01S,GPS -SPORTTRAK,NAD83,45.5875,-118.03056,x,975,65,10,coniferous forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,92-08,17
WILL,11157,11157U,IKEN,Ikenick,AF,+,A,McKenzie Bridge,Linn,OR,1,442-1220,44 22 12,-122 01 09,01S,GPS -ETRIX LEGE,NAD83,44.37,-122.01917,x,1006,67,5,open meadow,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
WILL,11158,11158U,FIPR,Fingerboard Prairie,AF,+,A,McKenzie Bridge,Lane,OR,1,441-1215,44 12 01,-121 57 15,01S,GPS -ETRIX LEGE,NAD83,44.20028,-121.95417,x,1195,67,5,meadow complex,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
WILL,11159,11159U,STFL,Strube Flat,AF,+,A,Blue River,Lane,OR,1,440-1221,44 08 24,-122 15 12,01S,-,-,44.14,-122.25333,-,488,67,5,riparian woodland,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,92-04,13
WILL,11160,11160U,CLCU,Clear Cut,AF,+,A,Finn Rock,Lane,OR,1,435-1221,43 57 14,-122 12 17,01S,GPS -ETRIX LEGE,NAD83,43.95389,-122.20472,x,1292,67,5,open mixed coniferous forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,,,,"92-07,09-11",19
WILL,11161,11161U,MAPR,Major Prairie,AF,+,A,Westfir,Lane,OR,1,435-1221,43 53 21,-122 15 54,01S,-,-,43.88917,-122.265,-,701,67,5,meadow,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,92-06,15
WILL,11162,11162U,BRCR,Brock Creek,AF,+,A,Oakridge,Lane,OR,1,435-1221,43 52 50,-122 12 26,01S,GPS -ETRIX LEGE,NAD83,43.88056,-122.20722,x,792,67,5,buckthorn scrub,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,92-11,20
SIUS,11163,11163U,MAPE,Mary's Peak,AF,+,A,Blodgett,Benton,OR,1,443-1232,44 30 58,-123 29 51,01S,-,-,44.51611,-123.4975,-,274,93,5,mature mixed coniferous forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,92-03,12
SIUS,11164,11164U,NECR,Nettle Creek,AF,+,A,Harlan,Lincoln,OR,1,443-1234,44 30 20,-123 48 50,10S,-,-,44.50556,-123.81389,-,256,93,5,douglas-fir forest,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,1
SIUS,11165,11165U,HOMS,Homestead,AF,+,A,Harlan,Lincoln,OR,1,443-1233,44 30 27,-123 37 46,01S,GPS -ETRIX LEGE,NAD83,44.5075,-123.62944,x,207,93,5,douglas-fir forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,92-10,19
SIUS,11166,11166U,BERI,Beaver Ridge,AF,+,A,Greenleaf,Lincoln,OR,1,441-1235,44 18 49,-123 50 20,01S,GPS -ETRIX LEGE,NAD83,44.31361,-123.83889,x,158,93,5,disturbed douglas-fir forest,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,92-10,19
APBP,0,0,KBW-,APBPC Karner Barrens West,C,+,I,Guilderland,Albany,NY,5,424-0735,42 43 06,-073 52 18,01S,ARC GIS,NAD83,42.71833,-73.87167,x,103,13,13,pitch pine - scrub oak barrens,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,12-,1
APBP,0,0,KRB-,APBPC King's Road Barrens,P,+,I,Guilderland,Albany,NY,5,424-0735,42 43 29,-073 52 38,01S,ARC GIS,NAD83,42.72472,-73.87722,x,105,13,13,pitch pine - scrub oak barrens,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,12-,1
BAND,0,-,ALDR,Alamo Drainage,IP,+,I,Los Almos,Sandoval,NM,2,355-1062,35 50 25,-106 26 56,01S,GIS,NAD83,35.84028,-106.44889,x,2750,84,16,mixed-conifer forest with meadows,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,10-,3
BAND,0,-,EACH,East Chapin,IP,+,I,Cortez,Montezuma,NM,2,371-1082,37 10 50,-108 28 18,01S,GIS,NAD83,37.18056,-108.47167,x,2120,84,16,pinon-juniper woodland,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,10-,3
BAND,0,-,FDEA,"Frijoles Drainage, East",IP,+,I,Los Almos,Sandoval,NM,2,355-1062,35 50 43,-106 24 09,01S,GIS,NAD83,35.84528,-106.4025,x,2750,84,16,mixed-conifer forest with meadows,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,10-,3
BAND,0,-,FDWE,"Frijoles Drainage, West",IP,+,I,Los Almos,Sandoval,NM,2,355-1062,35 51 05,-106 25 45,01S,GIS,NAD83,35.85139,-106.42917,x,2750,84,16,mixed-conifer forest with meadows,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,10-,3
BAND,0,-,UPCH,Upper Chapin,IP,+,I,Cortez,Montezuma,NM,2,371-1083,37 13 24,-108 30 15,01S,GIS,NAD83,37.22333,-108.50417,x,2272,84,16,pinon-juniper woodland,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,10-,3
BAND,0,-,WECH,West Chapin,IP,+,I,Cortez,Montezuma,NM,2,371-1082,37 10 09,-108 29 25,01S,GIS,NAD83,37.16917,-108.49028,x,2099,84,16,pinon-juniper woodland,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,10-,3
BBBS,0,BBBSU,BBBS,Big Bald Banding Station,AF,+,I,Erwin,Uincoi,TN,5,355-0822,35 59 38,-082 29 02,01S,GPS,NAD83,35.99389,-82.48389,x,1643,23,28,mesic grassy bald ecotone w hardwood,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,09-,4
BODO,0,-,BODO,Bodo State Wildlife Area,S,+,I,Durango,La Plata,CO,2,371-1075,37 14 54,-107 55 14,01S,GPS - Delorme X,NAD83,37.24833,-107.92056,x,223,84,16,ponderosa pine/mtn. shrubs/native grass,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,11-,2
BP--,0,BP--U,BP--,Barachois Pond,FS,+,I,Stephenville,N/A,NL,8,482-0581,48 28 55,-058 15 22,01S,GPS,NAD83,48.48194,-58.25611,x,200,29,8,balsam fir-birch-spruce forest/riparian,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,11-,2
BPNO,0,BPNOU,BPNO,Barrow's Point North,DM,+,I,Port Royal,Beaufort,SC,6,321-0804,32 18 33,-080 41 38,01S,GIS program,NAD83,32.30917,-80.69389,x,2,3,27,maritime forest,X,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,12-,1
CHPP,0,OLBAU,OLBA,Old Baldy,FS,+,I,Elkwater,Cypress,AB,3,493-1101,49 39 30,-110 17 54,01S,Online topo,NAD83,49.65833,-110.29833,x,1233,38,42,"mixed wood, upland buffalo-berry thicket",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,10-,3
CHPP,0,ROGRU,ROGR,Rodeo Grounds,FS,+,I,Elkwater,Cypress,AB,3,494-1101,49 40 07,-110 15 29,01S,Online topo,NAD83,49.66861,-110.25806,x,1224,38,42,"mixed wood, riparian alder thicket",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,10-,3
CHPP,0,SPCOU,SPCO,Spruce Coulee,FS,+,I,Elkwater,Cypress,AB,3,494-1101,49 40 54,-110 11 10,01S,Online topo,NAD83,49.68167,-110.18611,x,1317,38,42,aspen woodland buffalo-berry upland,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,10-,3
COWE,0,COWEU,COWE,Cowee MAPS,II,+,I,Franklin,Macon,NC,5,351-0832,35 15 55,-083 25 06,01S,Web - Itouchmap,NAD83,35.26528,-83.41833,x,610,23,28,riparian corridor/grassland/tree & shrub,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,12-,1
DGAP,0,DGAPU,DGAP,Dutch Gap,C,+,I,Chester,Chesterfield,VA,6,372-0772,37 22 03,-077 23 14,01S,GPS,NAD83,37.3675,-77.38722,x,2,4,29,bottomland rip. hardwood/tidal wetland,X,Y03,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,07-,6
FTPO,0,TMP3U,TMP3,,DA,,I,-,Vernon,LA,4,-,-,-,-,-,-,99.99999,999.99999,-,9999,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,11-,2
GUAD,0,GUADU,GUCA,GECI Guadalupe Caba?s,FP,+,I,Ensenada,n/a,BN,2,290-1181,29 06 29,-118 19 41,01S,Google,NAD83,29.10806,-118.32806,x,6,-1,63,acrid cypress forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,07,1
