LOC,STA,STA2,STATION,NAME,LHOLD,HOLDCERT,O,NEARTOWN,COUNTY,STATE,REGION,BLOCK,LATITUDE,LONGITUDE,PRECISION,SOURCE,DATUM,DECLAT,DECLNG,NAD83,ELEV,STRATUM,BCR,HABITAT,REG,PASSED,MAP,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,Y99,D99,Y00,D00,Y01,D01,Y02,D02,Y03,D03,Y04,D04,Y05,D05,Y06,D06,Y07,D07,Y08,D08,Y09,D09,Y10,D10,Y11,D11,Y12,D12,Y13,HISTORY,YRSOP
DUGW,12274,12274U,CP01,Control Plot 01,DA,+,I,Vernon,Tooele,UT,2,401-1124,40 13 10,-112 49 45,05S,-,-,40.21944,-112.82917,-,1416,88,9,shrubsteppe/juniper-brush,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,96-02,7
DUGW,12275,12275U,CP02,Control Plot 02,DA,+,I,Vernon,Tooele,UT,2,401-1124,40 13 30,-112 48 15,05S,-,-,40.225,-112.80417,-,1479,88,9,shrubsteppe/juniper-brush,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,96-02,7
DUGW,12276,12276U,CP03,Control Plot 03,DA,+,I,Vernon,Tooele,UT,2,401-1124,40 13 20,-112 47 10,05S,-,-,40.22222,-112.78611,-,1479,88,9,shrubsteppe/juniper-brush,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,96-02,7
DUGW,12277,12277U,TP01,Treatment Plot 01,DA,+,I,Vernon,Tooele,UT,2,401-1124,40 10 30,-112 49 30,05S,-,-,40.175,-112.825,-,1350,88,9,shrubsteppe/juniper-brush,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,96-02,7
DUGW,12278,12278S,TP02,Treatment Plot 02,DA,+,I,Vernon,Tooele,UT,2,401-1124,40 11 25,-112 47 30,05S,-,-,40.19028,-112.79167,-,1410,88,9,shrubsteppe/juniper-brush,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,96-02,7
DUGW,12279,12278S,TP03,Treatment Plot 03,DA,+,I,Vernon,Tooele,UT,2,401-1124,40 11 45,-112 47 50,05S,-,-,40.19583,-112.79722,-,1440,88,9,shrubsteppe/juniper-brush,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,96-02,7
BGSR,12280,12280U,SALI,Salinas River Mouth,IW,+,I,Castroville,Monterey,CA,2,364-1214,36 45 00,-121 47 00,01M,-,-,36.75,-121.78333,-,3,92,32,coastal riparian,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,1
LAME,12281,12281U,OWMA,Overton WMA,IP,+,I,Overton,Clark,NV,2,363-1142,36 31 40,-114 25 00,10S,-,-,36.52778,-114.41667,-,380,83,33,tamarisk-willow riparian corridor,X,,x,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,99-01,3
SLOB,12282,12282U,CHFL,Chorro Flats,P,+,I,Morro Bay,San Luis Obispo,CA,2,352-1204,35 21 40,-120 49 05,05S,-,-,35.36111,-120.81806,-,30,92,32,riparian/grasslands/marsh,X,N99,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,99-03,5
SLOB,12283,12283U,OSFL,Oso Flaco,C,+,I,Guadalupe,San Luis Obispo,CA,2,350-1203,35 01 50,-120 37 25,05S,-,-,35.03056,-120.62361,-,15,92,32,riparian woodland/dune scrub,X,,x,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,99-01,3
